Local time,Ask,Bid,AskVolume,BidVolume
06.06.2022 08:30:59.526 GMT+0200,8783.516,8776.516,0,0
06.06.2022 08:31:06.671 GMT+0200,8783.866,8776.866,0,0
06.06.2022 08:31:14.074 GMT+0200,8784.516,8777.516,0.0001,0
06.06.2022 08:31:26.871 GMT+0200,8784.966,8777.966,0,0
06.06.2022 08:31:34.265 GMT+0200,8786.416,8779.416,0,0
06.06.2022 08:31:39.126 GMT+0200,8786.916,8779.916,0,0
06.06.2022 08:31:39.387 GMT+0200,8787.516,8780.516,0,0
06.06.2022 08:31:59.461 GMT+0200,8786.816,8779.816,0,0
06.06.2022 08:32:01.397 GMT+0200,8788.016,8781.016,0.0001,0.0001
06.06.2022 08:32:01.708 GMT+0200,8788.966,8781.966,0,0
06.06.2022 08:32:37.558 GMT+0200,8789.126,8782.126,0,0
06.06.2022 08:32:37.682 GMT+0200,8788.866,8781.866,0,0
06.06.2022 08:33:07.102 GMT+0200,8788.566,8781.566,0,0
06.06.2022 08:33:07.319 GMT+0200,8787.626,8780.626,0,0
06.06.2022 08:33:07.508 GMT+0200,8788.126,8781.126,0,0
06.06.2022 08:33:11.474 GMT+0200,8786.816,8779.816,0,0
06.06.2022 08:33:27.019 GMT+0200,8788.126,8781.126,0,0
06.06.2022 08:33:59.218 GMT+0200,8787.016,8780.016,0,0
06.06.2022 08:34:01.895 GMT+0200,8787.366,8780.366,0,0
06.06.2022 08:34:18.869 GMT+0200,8785.866,8778.866,0,0
06.06.2022 08:36:00.372 GMT+0200,8785.366,8778.366,0,0
06.06.2022 08:36:00.714 GMT+0200,8784.866,8777.866,0,0
06.06.2022 08:36:01.267 GMT+0200,8784.316,8777.316,0,0
06.06.2022 08:36:05.891 GMT+0200,8784.966,8777.966,0,0
06.06.2022 08:37:26.044 GMT+0200,8785.566,8778.566,0,0
06.06.2022 08:37:26.189 GMT+0200,8786.626,8779.626,0,0
06.06.2022 08:37:42.124 GMT+0200,8786.516,8779.516,0,0
06.06.2022 08:38:06.008 GMT+0200,8785.916,8778.916,0,0
06.06.2022 08:40:10.181 GMT+0200,8787.566,8780.566,0,0
06.06.2022 08:41:57.859 GMT+0200,8787.916,8780.916,0,0
06.06.2022 08:42:08.904 GMT+0200,8787.466,8780.466,0,0
06.06.2022 08:42:12.136 GMT+0200,8787.966,8780.966,0,0
06.06.2022 08:42:15.492 GMT+0200,8787.416,8780.416,0,0
06.06.2022 08:44:36.598 GMT+0200,8787.126,8780.126,0,0
06.06.2022 08:44:37.014 GMT+0200,8785.316,8778.316,0,0
06.06.2022 08:44:37.459 GMT+0200,8785.866,8778.866,0,0.0001
06.06.2022 08:44:58.886 GMT+0200,8786.566,8779.566,0,0.0001
06.06.2022 08:45:00.514 GMT+0200,8786.626,8779.626,0,0.0001
06.06.2022 08:45:10.383 GMT+0200,8787.126,8780.126,0,0.0001
06.06.2022 08:46:24.920 GMT+0200,8787.626,8780.626,0,0
06.06.2022 08:46:25.166 GMT+0200,8787.316,8780.316,0,0
06.06.2022 08:46:49.113 GMT+0200,8786.866,8779.866,0,0
06.06.2022 08:46:49.292 GMT+0200,8786.016,8779.016,0,0
06.06.2022 08:47:05.271 GMT+0200,8786.816,8779.816,0,0
06.06.2022 08:47:05.678 GMT+0200,8787.566,8780.566,0,0
06.06.2022 08:47:06.212 GMT+0200,8786.966,8779.966,0,0
06.06.2022 08:47:16.439 GMT+0200,8786.566,8779.566,0,0
06.06.2022 08:47:16.560 GMT+0200,8786.066,8779.066,0,0.0001
06.06.2022 08:47:16.815 GMT+0200,8786.916,8779.916,0,0
06.06.2022 08:47:25.143 GMT+0200,8785.866,8778.866,0,0
06.06.2022 08:47:28.296 GMT+0200,8785.316,8778.316,0,0
06.06.2022 08:47:29.201 GMT+0200,8784.966,8777.966,0,0
06.06.2022 08:48:00.425 GMT+0200,8785.516,8778.516,0,0
06.06.2022 08:48:01.273 GMT+0200,8785.626,8778.626,0,0
06.06.2022 08:48:03.024 GMT+0200,8784.416,8777.416,0,0
06.06.2022 08:48:20.905 GMT+0200,8783.866,8776.866,0,0
06.06.2022 08:48:36.536 GMT+0200,8783.566,8776.566,0,0
06.06.2022 08:49:06.771 GMT+0200,8784.566,8777.566,0,0
06.06.2022 08:49:07.000 GMT+0200,8783.916,8776.916,0,0
06.06.2022 08:49:24.504 GMT+0200,8784.416,8777.416,0,0
06.06.2022 08:49:24.652 GMT+0200,8785.416,8778.416,0,0
06.06.2022 08:50:10.135 GMT+0200,8784.966,8777.966,0,0
06.06.2022 08:50:13.908 GMT+0200,8784.316,8777.316,0,0
06.06.2022 08:50:19.752 GMT+0200,8784.916,8777.916,0,0
06.06.2022 08:50:21.529 GMT+0200,8785.416,8778.416,0,0
06.06.2022 08:50:59.439 GMT+0200,8785.016,8778.016,0,0
06.06.2022 08:51:02.479 GMT+0200,8784.566,8777.566,0,0
06.06.2022 08:51:02.704 GMT+0200,8783.966,8776.966,0,0
06.06.2022 08:51:03.497 GMT+0200,8784.366,8777.366,0,0
06.06.2022 08:51:09.341 GMT+0200,8783.626,8776.626,0,0
06.06.2022 08:51:09.472 GMT+0200,8783.316,8776.316,0,0
06.06.2022 08:51:12.413 GMT+0200,8783.626,8776.626,0,0
06.06.2022 08:51:16.961 GMT+0200,8784.126,8777.126,0,0
06.06.2022 08:51:25.805 GMT+0200,8783.866,8776.866,0,0
06.06.2022 08:51:41.273 GMT+0200,8784.516,8777.516,0,0
06.06.2022 08:51:44.512 GMT+0200,8786.466,8779.466,0,0
06.06.2022 08:51:45.070 GMT+0200,8785.126,8778.126,0,0
06.06.2022 08:51:59.306 GMT+0200,8785.626,8778.626,0,0
06.06.2022 08:52:09.436 GMT+0200,8783.566,8776.566,0,0
06.06.2022 08:52:09.600 GMT+0200,8784.866,8777.866,0,0
06.06.2022 08:52:25.605 GMT+0200,8786.366,8779.366,0,0
06.06.2022 08:52:28.552 GMT+0200,8784.866,8777.866,0,0
06.06.2022 08:52:29.906 GMT+0200,8785.466,8778.466,0,0
06.06.2022 08:52:30.120 GMT+0200,8786.066,8779.066,0,0
06.06.2022 08:54:06.744 GMT+0200,8785.416,8778.416,0,0
06.06.2022 08:55:07.109 GMT+0200,8784.966,8777.966,0,0
06.06.2022 08:55:08.796 GMT+0200,8785.316,8778.316,0,0
06.06.2022 08:55:29.942 GMT+0200,8786.366,8779.366,0,0
06.06.2022 08:55:30.120 GMT+0200,8786.816,8779.816,0,0
06.06.2022 08:55:34.177 GMT+0200,8786.316,8779.316,0,0
06.06.2022 08:55:34.290 GMT+0200,8786.066,8779.066,0,0
06.06.2022 08:55:34.711 GMT+0200,8786.126,8779.126,0,0
06.06.2022 08:55:42.135 GMT+0200,8784.866,8777.866,0,0
06.06.2022 08:55:43.229 GMT+0200,8784.456,8777.456,0,0
06.06.2022 08:56:19.068 GMT+0200,8784.906,8777.906,0,0
